id,tile,group,l_median,b_median,size,Q_median,Q_mad,J-Ks_median,J-Ks_mad,pmra_median,pmra_mad,pmdec_median,pmdec_mad,image_J,image_H,image_Ks
0164_0,164,0,335.6875,-0.3236,27,0.19,0.11,3.02,0.25,-5.49,0.44,-5.73,0.25,001_163133.1-484047_J.fits.gz,001_163133.1-484047_H.fits.gz,001_163133.1-484047_Ks.fits.gz
0185_0,185,0,335.8209,-0.1868,38,0.18,0.10,3.41,0.83,-5.06,0.64,-5.49,0.33,002_163130.1-482920_J.fits.gz,002_163130.1-482920_H.fits.gz,002_163130.1-482920_Ks.fits.gz
0360_1,360,1,336.6040,-0.6622,294,0.20,0.06,3.07,0.31,-4.33,0.56,-5.12,0.44,003_163648.1-481408_J.fits.gz,003_163648.1-481408_H.fits.gz,003_163648.1-481408_Ks.fits.gz
0363_0,363,0,336.6485,-0.5898,205,0.19,0.06,3.02,0.42,-4.79,0.54,-5.12,0.50,004_163639.5-480914_J.fits.gz,004_163639.5-480914_H.fits.gz,004_163639.5-480914_Ks.fits.gz
0394_1,394,1,336.2710,-0.3108,24,0.15,0.08,3.45,0.15,-4.83,0.42,-5.07,0.50,005_163353.6-481438_J.fits.gz,005_163353.6-481438_H.fits.gz,005_163353.6-481438_Ks.fits.gz
0441_0,441,0,336.4900,-0.1569,13,0.17,0.04,3.69,0.18,-4.32,0.13,-5.08,0.30,006_163406.4-475843_J.fits.gz,006_163406.4-475843_H.fits.gz,006_163406.4-475843_Ks.fits.gz
0447_0,447,0,336.5687,-0.0811,5,0.17,0.33,4.82,0.16,-5.05,0.04,-5.30,0.03,007_163405.6-475210_J.fits.gz,007_163405.6-475210_H.fits.gz,007_163405.6-475210_Ks.fits.gz
0495_1,495,1,336.7131,-0.0540,16,0.13,0.24,4.91,0.37,-4.96,0.18,-5.06,0.31,008_163433.4-474442_J.fits.gz,008_163433.4-474442_H.fits.gz,008_163433.4-474442_Ks.fits.gz
0580_0,580,0,335.9942,0.0056,67,0.19,0.11,3.30,0.44,-4.76,0.47,-5.10,0.53,009_163122.2-481351_J.fits.gz,009_163122.2-481351_H.fits.gz,009_163122.2-481351_Ks.fits.gz
0768_0,768,0,336.2382,0.0367,138,0.18,0.12,3.12,0.53,-4.24,0.59,-5.08,0.74,010_163214.1-480153_J.fits.gz,010_163214.1-480153_H.fits.gz,010_163214.1-480153_Ks.fits.gz
0772_1,772,1,336.3423,0.0339,22,0.12,0.15,3.04,0.44,-4.00,0.44,-5.32,0.35,011_163240.3-475726_J.fits.gz,011_163240.3-475726_H.fits.gz,011_163240.3-475726_Ks.fits.gz
0782_1,782,1,336.3696,0.1934,73,0.08,0.13,3.65,0.36,-4.60,0.56,-5.39,0.61,012_163205.2-474943_J.fits.gz,012_163205.2-474943_H.fits.gz,012_163205.2-474943_Ks.fits.gz
0789_0,789,0,336.5465,-0.0177,48,0.10,0.08,3.72,0.28,-4.22,0.33,-5.11,0.41,013_163343.5-475034_J.fits.gz,013_163343.5-475034_H.fits.gz,013_163343.5-475034_Ks.fits.gz
0792_0,792,0,336.4262,0.1863,29,0.06,0.10,3.62,0.35,-4.76,0.26,-5.40,0.29,014_163220.8-474731_J.fits.gz,014_163220.8-474731_H.fits.gz,014_163220.8-474731_Ks.fits.gz
0792_1,792,1,336.4237,0.1522,84,0.16,0.12,3.38,0.27,-4.57,0.42,-5.38,0.36,015_163229.1-474902_J.fits.gz,015_163229.1-474902_H.fits.gz,015_163229.1-474902_Ks.fits.gz
0832_1,832,1,336.5804,0.0196,50,0.19,0.13,3.60,0.31,-4.46,0.24,-5.08,0.26,016_163342.0-474733_J.fits.gz,016_163342.0-474733_H.fits.gz,016_163342.0-474733_Ks.fits.gz
0833_1,833,1,336.6311,0.0211,29,0.19,0.17,4.32,0.22,-4.95,0.32,-5.71,0.33,017_163353.9-474515_J.fits.gz,017_163353.9-474515_H.fits.gz,017_163353.9-474515_Ks.fits.gz
